NAME_health,high_school_completion_25plus,bachelor's_degree_or_higher_25plus,unemployment_rate,broadband_internet_subscription,uninsured_population,total_civilian_noninstitutionalized_population,population_with_a_disability,total_population_disability_universe,state,county,tract,median_household_income_health,population_below_poverty,total_population_poverty_universe,owner-occupied_housing_units_health,renter-occupied_housing_units_health,median_home_value_health,median_gross_rent_health,vacant_housing_units,total_housing_units,public_transportation_to_work,total_workers_transportation_universe,total_population,median_age,children_in_married-couple_families,children_in_single-parent_families,total_children,total_population_5plus_language_universe,speak_only_english,foreign-born_population,"white_alone,_not_hispanic",black_or_african_american_alone,hispanic_or_latino,asian_alone,male_under_5_years,female_under_5_years,male_65_years_and_over,female_65_years_and_over,poverty_rate,vacancy_rate,public_transit_rate,uninsured_rate,disability_rate,single_parent_rate,foreign_born_rate,home_ownership_rate,NAME_econ,median_household_income_econ,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value_econ,median_gross_rent_econ,owner-occupied_housing_units_econ,renter-occupied_housing_units_econ,renters_cost_burden_30_35_pct,renters_cost_burden_35_40_pct,renters_cost_burden_40_50_pct,renters_cost_burden_50plus_pct,total_renter_households_cost,owners_cost_burden_30_35_pct,owners_cost_burden_35_40_pct,owners_cost_burden_40_50_pct,owners_cost_burden_50plus_pct,total_owner_households_cost,gini_index,households_receiving_snap,total_households_snap_universe,households_with_public_assistance,total_households_assistance_universe,median_earnings_workers,not_in_labor_force,total_workers_commute,commute_60_plus_minutes,commute_90_plus_minutes,NAME_additional,renter_cost_burden_rate,owner_cost_burden_rate,housing_cost_burden_rate,snap_participation_rate,public_assistance_rate,long_commute_rate
Census Tract 1505; Baltimore city; Maryland,85.2,19.8,7.7,41.4,97.7,1368,421,1368,24,510,150500,45357,391,1376,287,375,186500,891,95,757,141,498,1376,44.3,54,68,285,1279,200,38,47,1141,97,20,60,37,6,0,28.42,12.55,28.31,7.14,30.77,23.86,2.76,43.35,Census Tract 1505; Baltimore city; Maryland,45357.0,30945.0,391,1376,545,42,503,130,55,0,0,933,186500,891,287,375,24,0,25,146,375,0,16,0,60,287,0.5197,172,662,172,662,33413.0,8,456,8,45,Census Tract 1505; Baltimore city; Maryland,52.0,26.4808362369338,40.93655589123867,25.98187311178248,25.98187311178248,1.7543859649122806
Census Tract 1506; Baltimore city; Maryland,82.2,7.4,10.1,33.8,94.1,2840,821,2840,24,510,150600,28932,1121,2829,311,1028,-666666666,1016,510,1849,451,1008,2840,34.3,29,0,389,2728,414,24,32,2781,10,0,112,0,13,17,39.63,27.58,44.74,3.31,28.91,0.0,0.85,23.23,Census Tract 1506; Baltimore city; Maryland,28932.0,21836.0,1121,2829,1121,113,1008,107,26,0,0,1788,-666666666,1016,311,1028,214,0,112,295,1028,0,0,30,12,311,0.4796,553,1339,565,1339,32378.0,0,999,175,84,Census Tract 1506; Baltimore city; Maryland,60.40856031128404,13.504823151125404,49.51456310679612,41.29947722180732,42.19566840926065,17.51751751751752
Census Tract 1507.01; Baltimore city; Maryland,93.7,29.9,2.6,54.9,97.1,1901,297,1901,24,510,150701,57875,236,1901,440,190,259900,982,160,790,157,930,1901,37.0,165,16,296,1810,258,29,0,1860,0,0,0,91,0,51,12.41,20.25,16.88,5.11,15.62,5.41,1.53,69.84,Census Tract 1507.01; Baltimore city; Maryland,57875.0,32935.0,236,1901,955,25,930,220,137,21,32,1370,259900,982,440,190,0,0,7,75,190,24,16,0,46,440,0.5129,132,630,132,630,35763.0,0,906,98,31,Census Tract 1507.01; Baltimore city; Maryland,43.15789473684211,19.545454545454547,26.666666666666668,20.95238095238096,20.95238095238096,10.816777041942604
Census Tract 1507.02; Baltimore city; Maryland,90.0,15.4,19.9,42.8,93.0,1737,584,1737,24,510,150702,47098,555,1695,510,217,135600,1387,215,942,71,624,1748,52.1,0,0,143,1616,100,0,0,1730,18,0,96,36,7,27,32.74,22.82,11.38,5.35,33.62,0.0,0.0,70.15,Census Tract 1507.02; Baltimore city; Maryland,47098.0,27327.0,555,1695,801,159,642,141,46,0,31,1414,135600,1387,510,217,8,15,23,62,217,13,0,27,49,510,0.4835,189,727,189,727,41910.0,0,580,43,43,Census Tract 1507.02; Baltimore city; Maryland,49.76958525345622,17.45098039215686,27.097661623108664,25.99724896836313,25.99724896836313,7.413793103448276
Census Tract 1508; Baltimore city; Maryland,86.1,17.1,10.5,33.2,89.3,5142,984,5142,24,510,150800,51888,916,5117,897,1117,202300,1090,477,2491,292,1997,5176,33.1,184,45,601,4754,779,113,69,4622,134,0,252,170,97,50,17.9,19.15,14.62,1.74,19.14,7.49,2.18,44.54,Census Tract 1508; Baltimore city; Maryland,51888.0,23791.0,916,5117,2272,238,2034,404,155,31,19,3557,202300,1090,897,1117,152,65,41,489,1117,20,0,0,161,897,0.4179,613,2014,613,2014,41473.0,0,1838,103,64,Census Tract 1508; Baltimore city; Maryland,66.87555953446733,20.1783723522854,46.077457795431975,30.43694141012909,30.43694141012909,5.60391730141458
Census Tract 1509; Baltimore city; Maryland,91.6,27.2,4.8,54.0,97.3,3029,287,3029,24,510,150900,65156,465,3029,871,348,163000,1106,479,1698,133,1124,3029,31.3,536,50,647,2543,220,34,23,2341,544,0,255,231,25,58,15.35,28.21,11.83,3.21,9.48,7.73,1.12,71.45,Census Tract 1509; Baltimore city; Maryland,65156.0,30639.0,465,3029,1288,62,1226,356,107,96,0,2053,163000,1106,871,348,11,0,48,195,348,49,24,41,165,871,0.4084,177,1219,177,1219,38041.0,0,928,67,75,Census Tract 1509; Baltimore city; Maryland,72.98850574712644,32.03214695752009,43.724364232977855,14.520098441345365,14.520098441345365,7.219827586206897
Census Tract 1510; Baltimore city; Maryland,81.5,12.8,14.5,42.3,91.4,6054,1270,6054,24,510,151000,49697,1238,6054,1144,780,213300,1193,351,2275,669,2317,6166,40.9,74,214,722,5817,809,69,241,5470,374,0,128,221,105,36,20.45,15.43,28.87,1.51,20.98,29.64,1.12,59.46,Census Tract 1510; Baltimore city; Maryland,49697.0,25987.0,1238,6054,2765,401,2364,343,152,34,29,4356,213300,1193,1144,780,141,22,35,203,780,13,40,47,165,1144,0.5344,733,1924,775,1924,33529.0,0,2167,141,253,Census Tract 1510; Baltimore city; Maryland,51.41025641025641,23.164335664335663,34.61538461538461,38.0977130977131,40.28066528066528,6.506691278264882
Census Tract 1511; Baltimore city; Maryland,90.3,29.6,7.3,48.0,92.9,6339,1353,6339,24,510,151100,59264,1092,6339,2186,611,189800,1153,111,2908,499,3366,6350,52.9,74,0,188,6281,222,55,159,5956,135,20,69,0,89,0,17.23,3.82,14.82,1.47,21.34,0.0,0.87,78.16,Census Tract 1511; Baltimore city; Maryland,59264.0,43942.0,1092,6339,3632,266,3366,941,587,108,0,5519,189800,1153,2186,611,68,0,34,155,611,32,67,174,427,2186,0.5636,577,2797,665,2797,42837.0,0,3116,42,0,Census Tract 1511; Baltimore city; Maryland,42.06219312602291,32.02195791399817,34.2152306042188,20.629245620307472,23.77547372184484,1.3478818998716302
Census Tract 1512; Baltimore city; Maryland,80.2,15.1,11.0,33.4,94.2,3260,936,3260,24,510,151200,29292,924,3260,562,1015,99400,373,444,2021,226,1023,3260,56.9,410,0,501,2998,346,59,183,3012,0,0,166,96,90,67,28.34,21.97,22.09,2.89,28.71,0.0,1.81,35.64,Census Tract 1512; Baltimore city; Maryland,29292.0,24945.0,924,3260,1149,126,1023,256,112,0,17,2550,99400,373,562,1015,168,47,65,134,1015,54,0,0,43,562,0.5005,465,1577,465,1577,48379.0,0,940,95,47,Census Tract 1512; Baltimore city; Maryland,40.78817733990148,17.259786476868328,32.403297400126824,29.486366518706404,29.486366518706404,10.106382978723405
Census Tract 1513; Baltimore city; Maryland,80.7,19.6,11.2,55.2,93.2,4487,1117,4487,24,510,151300,50341,918,4487,763,758,89000,988,593,2114,560,1813,4513,39.0,334,0,804,4200,551,104,178,3969,184,7,91,222,37,36,20.46,28.05,30.89,2.08,24.89,0.0,2.3,50.16,Census Tract 1513; Baltimore city; Maryland,50341.0,22432.0,918,4487,2094,234,1860,257,284,55,7,3069,89000,988,763,758,87,9,73,159,758,0,11,35,99,763,0.4554,780,1521,780,1521,31954.0,0,1672,226,27,Census Tract 1513; Baltimore city; Maryland,43.27176781002638,19.003931847968545,31.09796186719264,51.28205128205128,51.28205128205128,13.516746411483254
Census Tract 1601; Baltimore city; Maryland,72.9,9.7,4.9,32.3,99.3,2023,576,2023,24,510,160100,16915,921,2023,176,857,88100,-666666666,449,1482,234,544,2023,41.4,0,0,303,2006,468,21,95,1655,117,0,0,17,59,7,45.53,30.3,43.01,4.91,28.47,0.0,1.04,17.04,Census Tract 1601; Baltimore city; Maryland,16915.0,17765.0,921,2023,572,28,544,144,0,0,0,1485,88100,-666666666,176,857,142,190,42,118,857,18,0,0,42,176,0.5073,583,1033,583,1033,34265.0,0,544,38,0,Census Tract 1601; Baltimore city; Maryland,57.4095682613769,34.090909090909086,53.43659244917716,56.43756050338818,56.43756050338818,6.985294117647059
Census Tract 1602; Baltimore city; Maryland,83.3,11.6,13.8,36.4,92.1,2132,445,2132,24,510,160200,35000,781,2132,337,579,118900,972,333,1249,122,828,2132,35.3,112,83,556,1898,357,9,50,2008,55,0,115,119,55,17,36.63,26.66,14.73,4.32,20.87,14.93,0.42,36.79,Census Tract 1602; Baltimore city; Maryland,35000.0,18093.0,781,2132,961,133,828,123,19,0,21,1410,118900,972,337,579,67,0,54,219,579,10,15,22,69,337,0.4434,377,916,391,916,33105.0,0,634,49,53,Census Tract 1602; Baltimore city; Maryland,58.72193436960277,34.42136498516321,49.78165938864629,41.15720524017467,42.685589519650655,7.728706624605679
Census Tract 1603; Baltimore city; Maryland,85.1,4.0,21.3,35.9,98.6,1551,523,1551,24,510,160300,21943,545,1551,109,484,-666666666,925,255,848,16,398,1695,55.3,0,0,281,1659,367,71,67,1549,0,51,13,23,113,7,35.14,30.07,4.02,6.36,33.72,0.0,4.19,18.38,Census Tract 1603; Baltimore city; Maryland,21943.0,17767.0,545,1551,506,108,398,39,0,11,0,1249,-666666666,925,109,484,29,0,102,210,484,0,7,13,21,109,0.4634,270,593,274,593,54375.0,0,217,16,21,Census Tract 1603; Baltimore city; Maryland,70.45454545454545,37.61467889908257,64.41821247892075,45.531197301854974,46.20573355817875,7.373271889400922
Census Tract 1604; Baltimore city; Maryland,82.5,8.0,14.4,25.7,95.0,1566,369,1566,24,510,160400,31484,711,1566,262,473,78100,1130,888,1623,56,422,1566,43.5,303,23,394,1471,346,0,18,1459,0,13,52,43,79,4,45.4,54.71,13.27,6.07,23.56,5.84,0.0,35.65,Census Tract 1604; Baltimore city; Maryland,31484.0,21949.0,711,1566,569,82,487,37,34,11,2,1047,78100,1130,262,473,19,74,34,293,473,0,0,10,18,262,0.4632,291,735,294,735,33108.0,0,392,39,37,Census Tract 1604; Baltimore city; Maryland,88.79492600422833,10.687022900763358,60.95238095238096,39.59183673469388,40.0,9.948979591836734
Census Tract 1605; Baltimore city; Maryland,81.9,5.7,18.7,37.8,96.0,2885,536,2885,24,510,160500,39216,860,2885,807,595,82300,1095,579,1981,284,1065,2885,41.9,24,139,363,2866,465,39,0,2810,0,44,0,19,42,45,29.81,29.23,26.67,3.33,18.58,38.29,1.35,57.56,Census Tract 1605; Baltimore city; Maryland,39216.0,23224.0,860,2885,1310,245,1065,67,53,10,0,2273,82300,1095,807,595,45,52,0,288,595,0,133,11,63,807,0.4828,368,1402,368,1402,26659.0,0,1065,129,150,Census Tract 1605; Baltimore city; Maryland,64.70588235294117,25.650557620817843,42.22539229671897,26.24821683309558,26.24821683309558,12.112676056338028
Census Tract 1606; Baltimore city; Maryland,88.3,9.9,23.5,37.7,92.7,2458,603,2458,24,510,160600,38337,400,2458,495,664,92500,1139,634,1793,284,786,2478,44.9,33,0,127,2335,244,0,84,2326,0,0,93,50,29,52,16.27,35.36,36.13,3.77,24.53,0.0,0.0,42.71,Census Tract 1606; Baltimore city; Maryland,38337.0,22704.0,400,2458,1044,245,799,147,36,0,10,1955,92500,1139,495,664,0,16,127,247,664,71,0,0,68,495,0.4445,450,1159,535,1159,38933.0,0,656,91,36,Census Tract 1606; Baltimore city; Maryland,58.73493975903615,28.08080808080808,45.6427955133736,38.826574633304574,46.16048317515099,13.871951219512196
Census Tract 1607; Baltimore city; Maryland,83.8,5.3,19.8,43.9,93.7,3711,576,3711,24,510,160700,44674,635,3711,718,762,77600,1302,772,2252,426,1374,3711,35.6,47,65,498,3350,468,0,0,3648,11,0,229,132,101,45,17.11,34.28,31.0,2.52,15.52,13.05,0.0,48.51,Census Tract 1607; Baltimore city; Maryland,44674.0,24473.0,635,3711,1759,349,1410,74,61,0,0,2544,77600,1302,718,762,21,44,66,336,762,69,0,17,96,718,0.4676,586,1480,639,1480,24688.0,0,1302,112,205,Census Tract 1607; Baltimore city; Maryland,61.28608923884514,25.348189415041784,43.85135135135136,39.5945945945946,43.17567567567567,8.60215053763441
Census Tract 1608.01; Baltimore city; Maryland,86.9,7.7,1.7,56.6,93.9,3131,476,3131,24,510,160801,48828,740,3131,741,433,123000,1123,108,1282,457,1198,3131,39.2,38,0,479,3101,706,95,40,2899,80,0,16,14,0,34,23.63,8.42,38.15,3.0,15.2,0.0,3.03,63.12,Census Tract 1608.01; Baltimore city; Maryland,48828.0,26345.0,740,3131,1271,22,1249,83,48,0,42,2250,123000,1123,741,433,0,133,0,172,433,9,36,20,81,741,0.4115,345,1174,345,1174,26761.0,0,1187,452,15,Census Tract 1608.01; Baltimore city; Maryland,70.43879907621246,19.70310391363023,38.41567291311755,29.38671209540034,29.38671209540034,38.07919123841618
Census Tract 1608.02; Baltimore city; Maryland,82.4,15.5,7.1,49.1,95.9,3264,580,3264,24,510,160802,53472,935,3264,621,417,126100,1645,233,1271,210,1094,3270,34.2,200,97,798,3129,897,36,12,3243,0,15,50,91,39,23,28.65,18.33,19.2,2.94,17.77,12.16,1.1,59.83,Census Tract 1608.02; Baltimore city; Maryland,53472.0,24549.0,935,3264,1197,85,1112,212,108,0,0,2058,126100,1645,621,417,13,0,71,139,417,9,23,12,51,621,0.457,362,1038,365,1038,34896.0,0,1050,167,67,Census Tract 1608.02; Baltimore city; Maryland,53.47721822541966,15.297906602254429,30.63583815028902,34.8747591522158,35.16377649325626,15.904761904761903
Census Tract 1701; Baltimore city; Maryland,87.1,28.9,8.5,45.9,97.5,1780,276,1780,24,510,170100,38143,535,1780,80,802,195000,1117,98,980,131,818,1805,32.6,236,12,338,1668,246,21,323,1274,80,20,125,12,0,69,30.06,10.0,16.01,5.48,15.51,3.55,1.16,9.07,Census Tract 1701; Baltimore city; Maryland,38143.0,28026.0,535,1780,905,77,828,153,117,31,61,1253,195000,1117,80,802,37,21,104,224,802,7,0,0,11,80,0.4794,328,882,328,882,36068.0,0,709,34,14,Census Tract 1701; Baltimore city; Maryland,48.12967581047381,22.5,45.80498866213152,37.188208616780045,37.188208616780045,4.795486600846263
Census Tract 1702; Baltimore city; Maryland,73.8,9.1,10.7,44.3,91.3,2457,525,2457,24,510,170200,14192,1333,2457,39,1277,284500,410,295,1611,420,833,2457,30.6,0,0,716,2257,566,70,141,2222,12,24,94,106,33,11,54.25,18.31,50.42,3.72,21.37,0.0,2.85,2.96,Census Tract 1702; Baltimore city; Maryland,14192.0,13453.0,1333,2457,933,100,833,16,107,14,0,1501,284500,410,39,1277,127,37,150,380,1277,0,0,0,5,39,0.5228,682,1316,682,1316,18615.0,0,833,89,25,Census Tract 1702; Baltimore city; Maryland,54.34612372748629,12.82051282051282,53.11550151975683,51.82370820668692,51.82370820668692,10.684273709483794
Census Tract 1703; Baltimore city; Maryland,78.3,16.0,13.8,47.8,93.9,2006,472,2006,24,510,170300,21895,725,2006,235,677,169600,734,305,1217,189,707,2006,36.5,46,8,398,1836,338,57,0,1882,77,0,52,118,37,23,36.14,25.06,26.73,4.68,23.53,2.01,2.84,25.77,Census Tract 1703; Baltimore city; Maryland,21895.0,22337.0,725,2006,828,114,714,127,70,0,0,1234,169600,734,235,677,35,61,36,257,677,15,0,0,33,235,0.5623,481,912,503,912,27936.0,0,681,29,98,Census Tract 1703; Baltimore city; Maryland,57.459379615952734,20.42553191489361,47.91666666666667,52.74122807017544,55.15350877192983,4.258443465491924
Census Tract 1803; Baltimore city; Maryland,88.7,39.4,4.8,67.5,92.3,1841,259,1841,24,510,180300,57372,482,1813,177,707,209900,1309,272,1156,190,1049,1841,30.1,0,0,204,1650,176,177,576,1140,56,0,158,33,10,0,26.59,23.53,18.11,5.01,14.07,0.0,9.61,20.02,Census Tract 1803; Baltimore city; Maryland,57372.0,33826.0,482,1813,1124,54,1070,219,126,46,109,1269,209900,1309,177,707,59,104,52,84,707,0,0,5,36,177,0.4363,141,884,189,884,41917.0,0,902,0,55,Census Tract 1803; Baltimore city; Maryland,42.29137199434229,23.16384180790961,38.46153846153847,15.95022624434389,21.380090497737555,0.0
Census Tract 1901; Baltimore city; Maryland,68.2,9.3,16.1,47.5,88.3,1819,388,1819,24,510,190100,27386,761,1819,198,585,131700,824,309,1092,112,593,1819,41.3,135,32,337,1752,236,130,90,1608,14,11,30,37,17,25,41.84,28.3,18.89,4.85,21.33,9.5,7.15,25.29,Census Tract 1901; Baltimore city; Maryland,27386.0,18072.0,761,1819,715,115,600,61,43,6,0,1189,131700,824,198,585,25,28,104,264,585,20,6,0,28,198,0.4717,453,783,467,783,32773.0,0,498,68,63,Census Tract 1901; Baltimore city; Maryland,71.96581196581197,27.27272727272727,60.66411238825032,57.8544061302682,59.642401021711365,13.654618473895583
Census Tract 1902; Baltimore city; Maryland,96.0,28.5,0.9,67.1,97.9,1804,132,1804,24,510,190200,52000,198,1821,350,400,317100,1248,373,1123,326,1045,1821,39.2,242,25,389,1653,261,17,507,764,173,21,125,43,37,11,10.87,33.21,31.2,5.43,7.32,6.43,0.93,46.67,Census Tract 1902; Baltimore city; Maryland,52000.0,32440.0,198,1821,1041,9,1032,120,210,7,23,1262,317100,1248,350,400,92,11,38,83,400,0,5,7,7,350,0.4275,220,750,268,750,33956.0,17,940,44,9,Census Tract 1902; Baltimore city; Maryland,56.00000000000001,5.428571428571429,32.4,29.33333333333333,35.733333333333334,4.680851063829787
Census Tract 1903; Baltimore city; Maryland,57.6,14.1,15.8,25.4,89.8,2095,632,2095,24,510,190300,-666666666,639,2067,165,674,74800,757,479,1318,191,571,2122,39.6,25,12,314,1945,255,77,562,1437,56,8,146,31,37,18,30.91,36.34,33.45,4.29,30.17,3.82,3.63,19.67,Census Tract 1903; Baltimore city; Maryland,-666666666.0,20867.0,639,2067,690,109,581,98,85,34,0,1543,74800,757,165,674,137,57,100,75,674,12,0,0,12,165,0.5377,387,839,387,839,33460.0,0,486,68,0,Census Tract 1903; Baltimore city; Maryland,54.74777448071217,14.545454545454543,46.841477949940405,46.12634088200238,46.12634088200238,13.991769547325102
Census Tract 2001; Baltimore city; Maryland,78.1,2.4,15.8,58.5,79.0,1421,399,1421,24,510,200100,39844,431,1421,196,399,54700,1237,373,968,176,544,1437,40.5,48,0,188,1392,153,138,13,1337,34,0,35,10,8,0,30.33,38.53,32.35,5.56,28.08,0.0,9.6,32.94,Census Tract 2001; Baltimore city; Maryland,39844.0,29623.0,431,1421,646,102,544,9,18,0,0,1113,54700,1237,196,399,22,24,0,78,399,0,0,27,23,196,0.4453,217,595,217,595,31719.0,0,408,67,37,Census Tract 2001; Baltimore city; Maryland,31.07769423558897,25.51020408163265,29.2436974789916,36.47058823529412,36.47058823529412,16.42156862745098
Census Tract 2002; Baltimore city; Maryland,88.0,9.8,11.4,45.3,99.5,1827,478,1827,24,510,200200,26551,724,1827,372,405,70600,1318,596,1373,93,557,1827,49.2,28,0,318,1761,164,0,74,1580,151,0,0,66,39,0,39.63,43.41,16.7,5.45,26.16,0.0,0.0,47.88,Census Tract 2002; Baltimore city; Maryland,26551.0,17230.0,724,1827,736,84,652,43,54,22,0,1219,70600,1318,372,405,24,45,42,269,405,0,0,0,47,372,0.3989,404,777,404,777,22520.0,0,530,0,65,Census Tract 2002; Baltimore city; Maryland,93.82716049382717,12.634408602150538,54.95495495495496,51.994851994852,51.994851994852,0.0
Census Tract 2003; Baltimore city; Maryland,76.1,4.2,7.7,40.9,92.4,1025,376,1025,24,510,200300,35000,443,1010,188,252,59200,1320,432,872,72,326,1025,43.4,0,0,137,982,73,24,318,605,0,19,0,43,40,21,43.86,49.54,22.09,9.01,36.68,0.0,2.34,42.73,Census Tract 2003; Baltimore city; Maryland,35000.0,20599.0,443,1010,375,29,346,34,2,0,0,861,59200,1320,188,252,0,39,24,129,252,0,0,0,8,188,0.4935,201,440,244,440,40451.0,0,312,11,24,Census Tract 2003; Baltimore city; Maryland,76.19047619047619,4.25531914893617,45.45454545454545,45.68181818181819,55.45454545454545,3.525641025641025
Census Tract 2004; Baltimore city; Maryland,61.1,5.5,17.7,31.5,93.4,1188,250,1188,24,510,200400,39565,320,1188,144,304,52800,992,401,849,114,376,1188,47.0,0,32,252,1111,246,9,72,1015,36,9,21,56,0,12,26.94,47.23,30.32,7.86,21.04,12.7,0.76,32.14,Census Tract 2004; Baltimore city; Maryland,39565.0,27323.0,320,1188,468,83,385,30,16,0,0,832,52800,992,144,304,49,21,39,79,304,0,0,10,0,144,0.5405,271,448,280,448,38571.0,0,360,31,0,Census Tract 2004; Baltimore city; Maryland,61.8421052631579,6.944444444444445,44.19642857142857,60.49107142857143,62.5,8.61111111111111
Census Tract 2005; Baltimore city; Maryland,65.7,3.0,13.8,37.0,89.1,1989,640,1989,24,510,200500,28995,919,2002,256,674,-666666666,1136,532,1462,69,857,2002,49.3,55,0,348,1978,319,261,400,1304,261,0,0,24,19,45,45.9,36.39,8.05,4.48,32.18,0.0,13.04,27.53,Census Tract 2005; Baltimore city; Maryland,28995.0,27641.0,919,2002,1000,138,862,16,0,30,0,1558,-666666666,1136,256,674,31,0,44,347,674,0,0,0,17,256,0.5355,503,930,522,930,21359.0,13,841,0,69,Census Tract 2005; Baltimore city; Maryland,62.61127596439169,6.640625,47.204301075268816,54.08602150537634,56.12903225806451,0.0
Census Tract 2006; Baltimore city; Maryland,88.0,10.4,14.5,65.3,90.1,2387,496,2387,24,510,200600,43869,514,2367,432,603,84400,1257,262,1297,141,933,2387,35.6,142,71,400,2235,470,7,286,1881,97,32,121,31,27,57,21.72,20.2,15.11,3.77,20.78,17.75,0.29,41.74,Census Tract 2006; Baltimore city; Maryland,43869.0,24087.0,514,2367,1100,159,941,114,39,0,11,1573,84400,1257,432,603,0,172,0,207,603,21,34,0,24,432,0.4572,379,1035,379,1035,44651.0,0,868,8,51,Census Tract 2006; Baltimore city; Maryland,62.85240464344943,18.28703703703704,44.25120772946861,36.6183574879227,36.6183574879227,0.9216589861751152
Census Tract 2007.01; Baltimore city; Maryland,82.1,14.5,10.2,50.3,93.7,3761,1127,3761,24,510,200701,39949,549,3761,1011,799,105200,929,389,2199,273,1705,3774,42.7,64,0,404,3718,549,22,38,3641,45,0,18,38,37,55,14.6,17.69,16.01,2.49,29.97,0.0,0.58,55.86,Census Tract 2007.01; Baltimore city; Maryland,39949.0,26032.0,549,3761,1898,193,1705,260,101,49,0,2821,105200,929,1011,799,59,0,8,367,799,50,28,24,120,1011,0.4202,500,1810,544,1810,34100.0,0,1607,97,14,Census Tract 2007.01; Baltimore city; Maryland,54.31789737171464,21.958456973293767,36.24309392265193,27.6243093922652,30.05524861878453,6.036092097075295
Census Tract 2007.02; Baltimore city; Maryland,86.0,19.1,4.7,51.3,96.8,1224,229,1224,24,510,200702,49591,343,1224,267,240,101100,1235,137,644,234,509,1224,40.0,0,61,289,1202,267,0,50,1174,0,0,0,22,0,12,28.02,21.27,45.97,7.91,18.71,21.11,0.0,52.66,Census Tract 2007.02; Baltimore city; Maryland,49591.0,22174.0,343,1224,578,27,551,120,48,0,0,878,101100,1235,267,240,55,4,19,25,240,0,0,0,41,267,0.4123,206,507,206,507,24780.0,0,487,9,163,Census Tract 2007.02; Baltimore city; Maryland,42.91666666666666,15.355805243445692,28.402366863905325,40.63116370808679,40.63116370808679,1.8480492813141685
Census Tract 2008; Baltimore city; Maryland,81.9,12.8,12.9,53.0,91.3,2206,360,2206,24,510,200800,54313,256,2206,320,484,125000,1073,215,1019,380,936,2214,36.4,12,0,396,2189,434,37,132,1867,59,0,0,25,3,31,11.6,21.1,40.6,4.14,16.32,0.0,1.67,39.8,Census Tract 2008; Baltimore city; Maryland,54313.0,26139.0,256,2206,1093,141,952,88,85,20,0,1506,125000,1073,320,484,63,0,23,74,484,0,9,0,31,320,0.4532,390,804,390,804,35750.0,0,914,9,11,Census Tract 2008; Baltimore city; Maryland,33.057851239669425,12.5,24.875621890547265,48.507462686567166,48.507462686567166,0.9846827133479212
Census Tract 2101; Baltimore city; Maryland,90.5,65.2,7.4,74.1,95.0,2132,207,2132,24,510,210100,87433,223,2143,554,487,239700,1377,214,1255,50,1427,2143,31.3,126,8,269,2061,198,26,630,1243,52,62,60,22,0,17,10.41,17.05,3.5,4.46,9.71,2.97,1.21,53.22,Census Tract 2101; Baltimore city; Maryland,87433.0,54324.0,223,2143,1558,116,1442,545,395,73,36,1608,239700,1377,554,487,55,11,70,111,487,18,7,27,54,554,0.4418,120,1041,120,1041,45974.0,11,1098,40,18,Census Tract 2101; Baltimore city; Maryland,50.71868583162218,19.13357400722021,33.90970220941403,11.527377521613833,11.527377521613833,3.642987249544627
Census Tract 2102; Baltimore city; Maryland,78.7,31.7,5.8,63.5,86.4,3711,669,3711,24,510,210200,47042,1001,3635,648,977,212200,1295,224,1849,166,1673,3711,32.8,0,188,707,3609,576,453,878,2043,432,165,40,62,72,41,27.54,12.11,9.92,2.33,18.03,26.59,12.21,39.88,Census Tract 2102; Baltimore city; Maryland,47042.0,33697.0,1001,3635,1814,105,1709,542,176,37,82,2638,212200,1295,648,977,15,54,83,282,977,52,19,29,0,648,0.5274,630,1625,630,1625,55656.0,0,1407,127,82,Census Tract 2102; Baltimore city; Maryland,44.42169907881269,15.432098765432098,32.861538461538466,38.76923076923077,38.76923076923077,9.026297085998578
Census Tract 2201; Baltimore city; Maryland,89.0,71.1,2.7,74.3,100.0,4301,869,4301,24,510,220100,87581,696,4284,989,1653,420000,1616,247,2889,153,2271,4301,36.4,290,0,290,4092,141,192,2965,675,126,291,155,54,19,48,16.25,8.55,6.74,2.33,20.2,0.0,4.46,37.43,Census Tract 2201; Baltimore city; Maryland,87581.0,87038.0,696,4284,2377,63,2314,1327,809,308,178,3687,420000,1616,989,1653,160,17,166,346,1653,11,17,0,35,989,0.5948,309,2642,309,2642,74087.0,0,1831,112,79,Census Tract 2201; Baltimore city; Maryland,41.68179068360556,6.370070778564206,28.463285389856168,11.695685087055262,11.695685087055262,6.116876024030585
Census Tract 2301; Baltimore city; Maryland,94.1,64.8,0.0,77.2,99.0,2103,302,2103,24,510,230100,102321,222,2111,416,755,418700,2247,180,1351,20,1360,2111,30.8,306,0,384,2020,268,108,1219,642,130,45,15,76,0,0,10.52,13.32,1.47,4.71,14.36,0.0,5.12,35.53,Census Tract 2301; Baltimore city; Maryland,102321.0,58885.0,222,2111,1369,0,1369,574,256,69,73,1500,418700,2247,416,755,243,75,38,182,755,18,19,0,77,416,0.4123,41,1171,72,1171,70234.0,8,1041,264,11,Census Tract 2301; Baltimore city; Maryland,71.25827814569536,27.40384615384616,55.67890691716482,3.5012809564474807,6.148590947907771,25.36023054755044
