NAME_health,high_school_completion_25plus,bachelor's_degree_or_higher_25plus,unemployment_rate,broadband_internet_subscription,uninsured_population,total_civilian_noninstitutionalized_population,population_with_a_disability,total_population_disability_universe,state,county,tract,median_household_income_health,population_below_poverty,total_population_poverty_universe,owner-occupied_housing_units_health,renter-occupied_housing_units_health,median_home_value_health,median_gross_rent_health,vacant_housing_units,total_housing_units,public_transportation_to_work,total_workers_transportation_universe,total_population,median_age,children_in_married-couple_families,children_in_single-parent_families,total_children,total_population_5plus_language_universe,speak_only_english,foreign-born_population,"white_alone,_not_hispanic",black_or_african_american_alone,hispanic_or_latino,asian_alone,male_under_5_years,female_under_5_years,male_65_years_and_over,female_65_years_and_over,poverty_rate,vacancy_rate,public_transit_rate,uninsured_rate,disability_rate,single_parent_rate,foreign_born_rate,home_ownership_rate,NAME_econ,median_household_income_econ,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value_econ,median_gross_rent_econ,owner-occupied_housing_units_econ,renter-occupied_housing_units_econ,renters_cost_burden_30_35_pct,renters_cost_burden_35_40_pct,renters_cost_burden_40_50_pct,renters_cost_burden_50plus_pct,total_renter_households_cost,owners_cost_burden_30_35_pct,owners_cost_burden_35_40_pct,owners_cost_burden_40_50_pct,owners_cost_burden_50plus_pct,total_owner_households_cost,gini_index,households_receiving_snap,total_households_snap_universe,households_with_public_assistance,total_households_assistance_universe,median_earnings_workers,not_in_labor_force,total_workers_commute,commute_60_plus_minutes,commute_90_plus_minutes,NAME_additional,renter_cost_burden_rate,owner_cost_burden_rate,housing_cost_burden_rate,snap_participation_rate,public_assistance_rate,long_commute_rate
Census Tract 801.01; Baltimore city; Maryland,92.6,44.7,1.6,78.2,93.1,3725,471,3725,24,510,80101,72694,409,3713,944,449,222200,1211,167,1560,219,2004,3752,37.6,317,10,659,3630,686,28,1133,2218,280,15,55,67,38,25,11.02,10.71,10.93,2.5,12.64,1.52,0.75,67.77,Census Tract 801.01; Baltimore city; Maryland,72694.0,37594.0,409,3713,2037,33,2004,506,499,35,77,2501,222200,1211,944,449,0,4,0,233,449,39,82,52,72,944,0.418,335,1393,407,1393,40599.0,27,1798,87,69,Census Tract 801.01; Baltimore city; Maryland,52.78396436525612,25.95338983050847,34.60157932519742,24.04881550610194,29.21751615218952,4.838709677419355
Census Tract 801.02; Baltimore city; Maryland,79.4,10.2,13.6,67.9,97.3,1803,455,1803,24,510,80102,30440,735,1803,310,353,99000,1159,227,890,165,475,1804,36.2,0,180,278,1756,359,41,57,1702,5,0,21,27,0,8,40.77,25.51,34.74,5.4,25.24,64.75,2.27,46.76,Census Tract 801.02; Baltimore city; Maryland,30440.0,20451.0,735,1803,550,75,475,64,58,0,0,1200,99000,1159,310,353,6,21,62,115,353,7,0,8,72,310,0.5197,215,663,224,663,40156.0,0,443,111,8,Census Tract 801.02; Baltimore city; Maryland,57.79036827195468,28.064516129032256,43.89140271493213,32.42835595776772,33.78582202111614,25.05643340857788
Census Tract 802; Baltimore city; Maryland,78.0,22.3,7.8,42.2,98.8,757,292,757,24,510,80200,48631,292,757,230,118,69100,-666666666,262,610,83,255,757,56.5,0,0,68,757,107,0,3,745,9,0,0,0,11,11,38.57,42.95,32.55,13.05,38.57,0.0,0.0,66.09,Census Tract 802; Baltimore city; Maryland,48631.0,25234.0,292,757,307,24,283,93,43,0,0,610,69100,-666666666,230,118,0,0,3,55,118,0,0,0,16,230,0.4969,157,348,164,348,34286.0,0,229,49,9,Census Tract 802; Baltimore city; Maryland,49.15254237288136,6.956521739130435,21.26436781609195,45.11494252873563,47.12643678160919,21.397379912663755
Census Tract 803.01; Baltimore city; Maryland,74.7,10.7,12.1,49.7,88.6,2140,495,2140,24,510,80301,43355,458,2070,312,407,68800,1153,311,1030,169,762,2140,29.9,215,0,422,1987,395,99,4,1912,224,0,112,41,0,40,22.13,30.19,22.18,4.14,23.13,0.0,4.63,43.39,Census Tract 803.01; Baltimore city; Maryland,43355.0,23177.0,458,2070,887,107,780,116,18,5,0,1295,68800,1153,312,407,0,8,73,144,407,11,5,10,14,312,0.5372,333,719,365,719,28148.0,0,649,101,30,Census Tract 803.01; Baltimore city; Maryland,55.28255528255528,12.82051282051282,36.8567454798331,46.31432545201669,50.76495132127955,15.56240369799692
Census Tract 803.02; Baltimore city; Maryland,84.0,18.9,12.3,43.3,91.2,1988,458,1988,24,510,80302,45727,301,1969,531,371,105400,1148,259,1161,88,633,1988,50.4,114,0,238,1988,306,0,118,1820,0,0,0,0,35,22,15.29,22.31,13.9,4.59,23.04,0.0,0.0,58.87,Census Tract 803.02; Baltimore city; Maryland,45727.0,24371.0,301,1969,740,91,649,67,190,30,0,1515,105400,1148,531,371,12,0,44,106,371,11,34,26,53,531,0.4562,222,902,222,902,34388.0,0,620,99,0,Census Tract 803.02; Baltimore city; Maryland,43.66576819407008,23.35216572504708,31.70731707317073,24.6119733924612,24.6119733924612,15.96774193548387
Census Tract 804; Baltimore city; Maryland,83.2,19.4,11.0,68.0,97.4,1027,217,1027,24,510,80400,36029,198,1027,160,296,-666666666,1293,230,686,73,461,1027,32.4,47,0,225,962,217,24,34,985,0,8,18,47,11,13,19.28,33.53,15.84,9.48,21.13,0.0,2.34,35.09,Census Tract 804; Baltimore city; Maryland,36029.0,23742.0,198,1027,608,67,541,68,65,0,0,684,-666666666,1293,160,296,21,52,17,119,296,11,0,19,0,160,0.3468,107,456,107,456,33322.0,0,387,64,0,Census Tract 804; Baltimore city; Maryland,70.6081081081081,18.75,52.41228070175439,23.46491228070176,23.46491228070176,16.5374677002584
Census Tract 805; Baltimore city; Maryland,76.1,3.1,15.8,67.6,96.2,1446,416,1446,24,510,80500,25529,629,1446,251,276,46500,1279,179,706,53,452,1446,42.8,0,53,141,1361,165,0,139,1240,0,0,63,22,0,16,43.5,25.35,11.73,6.65,28.77,37.59,0.0,47.63,Census Tract 805; Baltimore city; Maryland,25529.0,16609.0,629,1446,537,85,452,24,6,0,0,970,46500,1279,251,276,26,0,8,111,276,0,10,0,21,251,0.4656,330,527,330,527,24861.0,0,380,0,0,Census Tract 805; Baltimore city; Maryland,52.53623188405797,12.350597609561753,33.396584440227706,62.61859582542695,62.61859582542695,0.0
Census Tract 806; Baltimore city; Maryland,82.0,14.0,11.2,48.9,94.6,1302,341,1302,24,510,80600,37596,407,1244,210,381,-666666666,1071,590,1181,101,462,1302,45.2,6,0,186,1302,263,0,29,1189,67,0,0,0,16,7,32.72,49.96,21.86,7.27,26.19,0.0,0.0,35.53,Census Tract 806; Baltimore city; Maryland,37596.0,20234.0,407,1244,520,58,462,113,20,0,0,947,-666666666,1071,210,381,7,30,54,133,381,21,0,0,8,210,0.4247,293,591,297,591,36855.0,0,394,17,18,Census Tract 806; Baltimore city; Maryland,58.79265091863517,13.80952380952381,42.8087986463621,49.57698815566836,50.25380710659898,4.314720812182741
Census Tract 807; Baltimore city; Maryland,91.5,38.0,10.9,72.3,82.9,1077,90,1077,24,510,80700,50962,342,1077,177,159,199000,1629,261,597,44,488,1077,31.5,173,18,334,993,234,105,57,849,73,12,66,18,0,8,31.75,43.72,9.02,7.7,8.36,5.39,9.75,52.68,Census Tract 807; Baltimore city; Maryland,50962.0,23187.0,342,1077,548,60,488,218,47,0,0,698,199000,1629,177,159,22,0,7,93,159,8,0,17,5,177,0.4714,122,336,133,336,36250.0,0,462,5,31,Census Tract 807; Baltimore city; Maryland,76.72955974842768,16.94915254237288,45.23809523809524,36.30952380952381,39.58333333333333,1.0822510822510822
Census Tract 808; Baltimore city; Maryland,89.8,22.0,6.7,68.4,92.0,2147,572,2147,24,510,80800,66000,690,2094,226,530,247000,956,134,890,245,869,2147,29.1,110,26,493,1994,406,66,116,1838,133,0,114,39,0,7,32.95,15.06,28.19,4.29,26.64,5.27,3.07,29.89,Census Tract 808; Baltimore city; Maryland,66000.0,29348.0,690,2094,939,63,876,176,51,55,12,1335,247000,956,226,530,23,10,8,231,530,7,4,0,20,226,0.4876,300,756,300,756,51212.0,0,710,102,0,Census Tract 808; Baltimore city; Maryland,51.320754716981135,13.716814159292037,40.07936507936508,39.68253968253968,39.68253968253968,14.366197183098592
