NAME,median_household_income,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value,median_gross_rent,owner-occupied_housing_units,renter-occupied_housing_units,state,county,tract
Census Tract 1308.06; Baltimore city; Maryland,106118,52804.0,185,1546,1073,64,1009,457,221,89,71,1442,236100,1756,485,221,24,510,130806
Census Tract 1401; Baltimore city; Maryland,63601,59580.0,462,3196,2138,177,1961,762,471,263,122,2849,479300,1116,599,1411,24,510,140100
Census Tract 1402; Baltimore city; Maryland,38384,17446.0,1408,2803,1035,427,608,175,85,0,0,1710,333100,976,399,700,24,510,140200
Census Tract 1403; Baltimore city; Maryland,45086,34537.0,227,1516,789,83,706,138,142,0,0,1274,-666666666,1106,280,598,24,510,140300
Census Tract 1501; Baltimore city; Maryland,29423,22765.0,912,2199,849,127,722,94,38,0,0,1532,99300,533,508,536,24,510,150100
Census Tract 1502; Baltimore city; Maryland,46120,26061.0,645,2353,753,122,631,21,8,0,0,1792,90900,-666666666,410,465,24,510,150200
Census Tract 1503; Baltimore city; Maryland,20046,14313.0,692,1284,579,141,438,58,7,0,0,914,64200,1549,346,163,24,510,150300
Census Tract 1504; Baltimore city; Maryland,42266,24232.0,499,3010,1708,250,1458,270,56,0,0,2410,77900,957,530,881,24,510,150400
Census Tract 1505; Baltimore city; Maryland,45357,30945.0,391,1376,545,42,503,130,55,0,0,933,186500,891,287,375,24,510,150500
Census Tract 1506; Baltimore city; Maryland,28932,21836.0,1121,2829,1121,113,1008,107,26,0,0,1788,-666666666,1016,311,1028,24,510,150600
Census Tract 1507.01; Baltimore city; Maryland,57875,32935.0,236,1901,955,25,930,220,137,21,32,1370,259900,982,440,190,24,510,150701
Census Tract 1507.02; Baltimore city; Maryland,47098,27327.0,555,1695,801,159,642,141,46,0,31,1414,135600,1387,510,217,24,510,150702
Census Tract 1508; Baltimore city; Maryland,51888,23791.0,916,5117,2272,238,2034,404,155,31,19,3557,202300,1090,897,1117,24,510,150800
Census Tract 1509; Baltimore city; Maryland,65156,30639.0,465,3029,1288,62,1226,356,107,96,0,2053,163000,1106,871,348,24,510,150900
Census Tract 1510; Baltimore city; Maryland,49697,25987.0,1238,6054,2765,401,2364,343,152,34,29,4356,213300,1193,1144,780,24,510,151000
Census Tract 1511; Baltimore city; Maryland,59264,43942.0,1092,6339,3632,266,3366,941,587,108,0,5519,189800,1153,2186,611,24,510,151100
Census Tract 1512; Baltimore city; Maryland,29292,24945.0,924,3260,1149,126,1023,256,112,0,17,2550,99400,373,562,1015,24,510,151200
Census Tract 1513; Baltimore city; Maryland,50341,22432.0,918,4487,2094,234,1860,257,284,55,7,3069,89000,988,763,758,24,510,151300
Census Tract 1601; Baltimore city; Maryland,16915,17765.0,921,2023,572,28,544,144,0,0,0,1485,88100,-666666666,176,857,24,510,160100
Census Tract 1602; Baltimore city; Maryland,35000,18093.0,781,2132,961,133,828,123,19,0,21,1410,118900,972,337,579,24,510,160200
Census Tract 1603; Baltimore city; Maryland,21943,17767.0,545,1551,506,108,398,39,0,11,0,1249,-666666666,925,109,484,24,510,160300
Census Tract 1604; Baltimore city; Maryland,31484,21949.0,711,1566,569,82,487,37,34,11,2,1047,78100,1130,262,473,24,510,160400
Census Tract 1605; Baltimore city; Maryland,39216,23224.0,860,2885,1310,245,1065,67,53,10,0,2273,82300,1095,807,595,24,510,160500
Census Tract 1606; Baltimore city; Maryland,38337,22704.0,400,2458,1044,245,799,147,36,0,10,1955,92500,1139,495,664,24,510,160600
Census Tract 1607; Baltimore city; Maryland,44674,24473.0,635,3711,1759,349,1410,74,61,0,0,2544,77600,1302,718,762,24,510,160700
Census Tract 1608.01; Baltimore city; Maryland,48828,26345.0,740,3131,1271,22,1249,83,48,0,42,2250,123000,1123,741,433,24,510,160801
Census Tract 1608.02; Baltimore city; Maryland,53472,24549.0,935,3264,1197,85,1112,212,108,0,0,2058,126100,1645,621,417,24,510,160802
Census Tract 1701; Baltimore city; Maryland,38143,28026.0,535,1780,905,77,828,153,117,31,61,1253,195000,1117,80,802,24,510,170100
Census Tract 1702; Baltimore city; Maryland,14192,13453.0,1333,2457,933,100,833,16,107,14,0,1501,284500,410,39,1277,24,510,170200
Census Tract 1703; Baltimore city; Maryland,21895,22337.0,725,2006,828,114,714,127,70,0,0,1234,169600,734,235,677,24,510,170300
Census Tract 1803; Baltimore city; Maryland,57372,33826.0,482,1813,1124,54,1070,219,126,46,109,1269,209900,1309,177,707,24,510,180300
Census Tract 1901; Baltimore city; Maryland,27386,18072.0,761,1819,715,115,600,61,43,6,0,1189,131700,824,198,585,24,510,190100
Census Tract 1902; Baltimore city; Maryland,52000,32440.0,198,1821,1041,9,1032,120,210,7,23,1262,317100,1248,350,400,24,510,190200
Census Tract 1903; Baltimore city; Maryland,-666666666,20867.0,639,2067,690,109,581,98,85,34,0,1543,74800,757,165,674,24,510,190300
Census Tract 2001; Baltimore city; Maryland,39844,29623.0,431,1421,646,102,544,9,18,0,0,1113,54700,1237,196,399,24,510,200100
Census Tract 2002; Baltimore city; Maryland,26551,17230.0,724,1827,736,84,652,43,54,22,0,1219,70600,1318,372,405,24,510,200200
Census Tract 2003; Baltimore city; Maryland,35000,20599.0,443,1010,375,29,346,34,2,0,0,861,59200,1320,188,252,24,510,200300
Census Tract 2004; Baltimore city; Maryland,39565,27323.0,320,1188,468,83,385,30,16,0,0,832,52800,992,144,304,24,510,200400
Census Tract 2005; Baltimore city; Maryland,28995,27641.0,919,2002,1000,138,862,16,0,30,0,1558,-666666666,1136,256,674,24,510,200500
Census Tract 2006; Baltimore city; Maryland,43869,24087.0,514,2367,1100,159,941,114,39,0,11,1573,84400,1257,432,603,24,510,200600
Census Tract 2007.01; Baltimore city; Maryland,39949,26032.0,549,3761,1898,193,1705,260,101,49,0,2821,105200,929,1011,799,24,510,200701
Census Tract 2007.02; Baltimore city; Maryland,49591,22174.0,343,1224,578,27,551,120,48,0,0,878,101100,1235,267,240,24,510,200702
Census Tract 2008; Baltimore city; Maryland,54313,26139.0,256,2206,1093,141,952,88,85,20,0,1506,125000,1073,320,484,24,510,200800
Census Tract 2101; Baltimore city; Maryland,87433,54324.0,223,2143,1558,116,1442,545,395,73,36,1608,239700,1377,554,487,24,510,210100
Census Tract 2102; Baltimore city; Maryland,47042,33697.0,1001,3635,1814,105,1709,542,176,37,82,2638,212200,1295,648,977,24,510,210200
Census Tract 2201; Baltimore city; Maryland,87581,87038.0,696,4284,2377,63,2314,1327,809,308,178,3687,420000,1616,989,1653,24,510,220100
Census Tract 2301; Baltimore city; Maryland,102321,58885.0,222,2111,1369,0,1369,574,256,69,73,1500,418700,2247,416,755,24,510,230100
Census Tract 2302; Baltimore city; Maryland,126477,73248.0,83,1549,1226,10,1216,692,235,70,41,1314,327800,2139,477,318,24,510,230200
Census Tract 2303; Baltimore city; Maryland,110125,64348.0,204,1416,1162,16,1146,530,279,66,42,1167,299300,2090,212,534,24,510,230300
Census Tract 2401; Baltimore city; Maryland,157393,109118.0,181,3457,2525,56,2469,1086,735,212,144,2767,468300,2064,1182,597,24,510,240100
Census Tract 2402; Baltimore city; Maryland,152722,108864.0,41,2596,1986,34,1952,1054,582,231,85,2251,388500,2483,936,533,24,510,240200
Census Tract 2403; Baltimore city; Maryland,119766,81173.0,59,1975,1545,34,1511,556,405,230,58,1578,414700,2007,532,461,24,510,240300
Census Tract 2404; Baltimore city; Maryland,155444,83209.0,65,2645,1803,14,1789,772,705,87,73,2152,377100,2281,848,441,24,510,240400
Census Tract 2501.01; Baltimore city; Maryland,65956,30030.0,438,4036,2144,24,2120,575,140,15,0,2604,173300,1540,1051,567,24,510,250101
Census Tract 2501.02; Baltimore city; Maryland,49530,25504.0,398,3096,1871,182,1689,158,80,0,0,2049,120100,1245,446,831,24,510,250102
Census Tract 2501.03; Baltimore city; Maryland,38922,30782.0,595,3231,1409,106,1303,283,68,13,10,2856,161600,759,677,1023,24,510,250103
Census Tract 2502.03; Baltimore city; Maryland,39167,22775.0,415,1750,790,65,725,152,97,0,0,1091,65800,1227,182,586,24,510,250203
Census Tract 2502.04; Baltimore city; Maryland,18904,8852.0,2868,4786,1142,118,1024,12,0,0,0,2031,-666666666,443,81,1519,24,510,250204
Census Tract 2502.05; Baltimore city; Maryland,38942,19989.0,1117,3668,1642,168,1474,150,44,15,11,2221,100900,1404,472,816,24,510,250205
Census Tract 2502.06; Baltimore city; Maryland,72654,26862.0,302,2319,944,145,799,133,101,12,34,1490,125000,950,498,359,24,510,250206
Census Tract 2502.07; Baltimore city; Maryland,50125,31148.0,335,1907,999,55,944,69,74,0,24,1294,74200,1165,92,744,24,510,250207
Census Tract 2503.01; Baltimore city; Maryland,28750,20920.0,1097,2229,745,140,605,25,80,0,0,1243,79800,596,298,500,24,510,250301
Census Tract 2503.03; Baltimore city; Maryland,45139,22999.0,409,1911,689,76,613,146,20,8,0,1305,75600,1435,367,366,24,510,250303
Census Tract 2504.01; Baltimore city; Maryland,45044,18381.0,905,4387,1899,84,1815,260,11,48,0,2850,106000,1233,581,900,24,510,250401
Census Tract 2504.02; Baltimore city; Maryland,32385,19547.0,1841,3803,1581,320,1261,41,64,0,37,2280,89300,1128,617,908,24,510,250402
Census Tract 2505; Baltimore city; Maryland,42073,32619.0,855,4251,2236,128,2108,284,109,16,0,2805,85700,1091,1132,925,24,510,250500
Census Tract 2506; Baltimore city; Maryland,-666666666,,11,11,11,5,6,0,0,0,0,11,-666666666,-666666666,6,5,24,510,250600
